Keywords,Abstract,DOI,Link,Year,Title,Authors,Read,Type,Publication Title,Citation Count,Repeated,SCOPUS,IEEE,SPRINGER,WOS,,
"Test-time adaptation, Label distribution shift, Medical image classification","Class distribution plays an important role in learning deep classifiers. When the proportion of each class in the test set differs from the training set, the performance of classification nets usually degrades. Such a label distribution shift problem is common in medical diagnosis since the prevalence of disease vary over location and time. In this paper, we propose the first method to tackle label shift for medical image classification, which effectively adapt the model learned from a single training label distribution to arbitrary unknown test label distribution. Our approach innovates distribution calibration to learn multiple representative classifiers, which are capable of handling different one-dominating-class distributions. When given a test image, the diverse classifiers are dynamically aggregated via the consistency-driven test-time adaptation, to deal with the unknown test label distribution. We validate our method on two important medical image classification tasks including liver fibrosis staging and COVID-19 severity prediction. Our experiments clearly show the decreased model performance under label shift. With our method, model performance significantly improves on all the test datasets with different label shifts for both medical image diagnosis tasks. Code is available at .",10.1007/978-3-031-16437-8_30,https://doi.org/10.1007/978-3-031-16437-8_30,2022,Test-Time Adaptation with&nbsp;Calibration of&nbsp;Medical Image Classification Nets for&nbsp;Label Distribution Shift,"Ma, Wenao and Chen, Cheng and Zheng, Shuang and Qin, Jing and Zhang, Huimao and Dou, Qi",,inproceedings,,,removed,no,no,yes,no,,
"distribution shift, graph neural networks, link prediction, synthetic graphs","State-of-the-art link prediction (LP) models demonstrate impressive benchmark results. However, popular benchmark datasets often assume that training, validation, and testing samples are represen- tative of the overall dataset distribution. In real-world situations, this assumption is often incorrect; uncontrolled factors lead new dataset samples to come from a different distribution than train- ing samples. Additionally, the majority of recent work with graph dataset shift focuses on node- and graph-level tasks, largely ignor- ing link-level tasks. To bridge this gap, we introduce a novel splitting strategy, known as LPShift, which utilizes structural properties to induce a controlled distribution shift. We verify LPShift's effect through empirical evaluation of SOTA LP models on 16 LPShift variants of original dataset splits, with results indicating drastic changes to model performance. Additional experiments demon- strate graph structure has a strong influence on the success of current generalization methods. The source code is available here https://github.com/revolins/LPShift.",10.1145/3711896.3737434,https://doi.org/10.1145/3711896.3737434,2025,Towards Understanding Link Predictor Generalizability Under Distribution Shifts,"Revolinsky, Jay and Shomer, Harry and Tang, Jiliang",,inproceedings,,,removed,no,no,no,no,,
"Federated Learning, Continual Learning, Distribution Shifts","For medical imaging AI models to be clinically impactful, they must generalize. However, this goal is hindered by (i) diverse types of distribution shifts, such as temporal, demographic, and label shifts, and (ii) limited diversity in datasets that are siloed within single medical institutions. While these limitations have spurred interest in federated learning, current evaluation benchmarks fail to evaluate different shifts simultaneously. However, in real healthcare settings, multiple types of shifts co-exist, yet their impact on medical imaging performance remains unstudied. In response, we introduce FedMedICL, a unified framework and benchmark to holistically evaluate federated medical imaging challenges, simultaneously capturing label, demographic, and temporal distribution shifts. We comprehensively evaluate several popular methods on six diverse medical imaging datasets (totaling 550 GPU hours). Furthermore, we use FedMedICL to simulate COVID-19 propagation across hospitals and evaluate whether methods can adapt to pandemic changes in disease prevalence. We find that a simple batch balancing technique surpasses advanced methods in average performance across FedMedICL experiments. This finding questions the applicability of results from previous, narrow benchmarks in real-world medical settings. Code is available at: .",10.1007/978-3-031-72117-5_36,https://doi.org/10.1007/978-3-031-72117-5_36,2024,FedMedICL: Towards Holistic Evaluation of&nbsp;Distribution Shifts in&nbsp;Federated Medical Imaging,"Alhamoud, Kumail and Ghunaim, Yasir and Alfarra, Motasem and Hartvigsen, Thomas and Torr, Philip and Ghanem, Bernard and Bibi, Adel and Ghassemi, Marzyeh",no,inproceedings,,,yes,no,no,yes,no,,
"Gaussian NB, Decision tree, Ada boost, Gradient boost, XGBoost, Random forest, Linear SVC, RBF SVC, Covariate distributional shift, Machine learning, HCI Theories and Methods","The main challenges of using electroencephalogram (EEG) signals to make eye-tracking (ET) predictions are the differences in distributional patterns between benchmark data and real-world data and the noise resulting from the unintended interference of brain signals from multiple sources. Increasing the robustness of machine learning models in predicting eye-tracking position from EEG data is therefore integral for both research and consumer use. In medical research, the usage of more complicated data collection methods to test for simpler tasks has been explored to address this very issue. In this study, we propose a fine-grain data approach for EEG-ET data collection in order to create more robust benchmarking. We train machine learning models utilizing both coarse-grain and fine-grain data and compare their accuracies when tested on data of similar/different distributional patterns in order to determine how susceptible EEG-ET benchmarks are to differences in distributional data. We apply a covariate distributional shift to test for this susceptibility. Results showed that models trained on fine-grain, vector-based data were less susceptible to distributional shifts than models trained on coarse-grain, binary-classified data.",10.1007/978-3-031-17615-9_44,https://doi.org/10.1007/978-3-031-17615-9_44,2022,Vector-Based Data Improves Left-Right Eye-Tracking Classifier Performance After a&nbsp;Covariate Distributional Shift,"Xiang, Brian and Abdelmonsef, Abdelrahman",,inproceedings,,,removed,no,no,no,no,,
"keyword spotting, distribution shifts, wakeword detection","We propose a novel approach for semi-supervised learning (SSL) designed to overcome distribution shifts between training and real-world data arising in the keyword spotting (KWS) task. Shifts from training data distribution are a key challenge for real-world KWS tasks: when a new model is deployed on device, the gating of the accepted data undergoes a shift in distribution, making the problem of timely updates via subsequent deployments hard. Despite the shift, we assume that the marginal distributions on labels do not change. We utilize a modified teacher/student training framework, where labeled training data is augmented with unlabeled data. Note that the teacher does not have access to the new distribution as well. To train effectively with a mix of human and teacher labeled data, we develop a teacher labeling strategy based on confidence heuristics to reduce entropy on the label distribution from the teacher model; the data is then sampled to match the marginal distribution on the labels. Large scale experimental results show that a convolutional neural network (CNN) trained on far-field audio, and evaluated on far-field audio drawn from a different distribution, obtains a 14.3% relative improvement in false discovery rate (FDR) at equal false reject rate (FRR), while yielding a 5% improvement in FDR under no distribution shift. Under a more severe distribution shift from far-field to near-field audio with a smaller fully connected network (FCN) our approach achieves a 52% relative improvement in FDR at equal FRR, while yielding a 20% relative improvement in FDR on the original distribution.",10.1007/978-3-031-16270-1_26,https://doi.org/10.1007/978-3-031-16270-1_26,2022,Wakeword Detection Under Distribution Shifts,"Parthasarathi, Sree Hari Krishnan and Zeng, Lu and Jose, Christin and Wang, Joseph",,inproceedings,,,removed,no,no,no,no,,
,,,,,,,,,,,,,,,,,
,,,,,,,No repe,,,NO REPETIDOS,0,2,1,12,9,,
,,,,,,,repe,,,REPETIDOS,4,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,TOTAL,EXCLUIDOS,,DEJADOS,,,SELECCIONADOS,Repetidos ,,,,,
,,,,,57,42,,15,,,3,3,,,,,
,,,,,,MOVIDOS,,,,,,,,,,,
,,,,,,11,,,,,,,,,,,
